author_clean,race,gender,log10_hits,count
A. A. Milne,white,male,6.55266821611219,10
A. B. Simpson,white,male,5.42651126136457,3
A. Bartlett Giamatti,white,male,4.95036485437612,1
A. C. Benson,white,male,4.62428209583567,4
A. E. Hotchner,white,male,5.27646180417324,1
A. E. Housman,white,male,5.26007138798508,9
A. Eustace Haydon,white,male,3.76192783842053,1
A. G. Sertillanges,white,male,4.60097289568675,1
A. J. Ayer,white,male,5.07918124604763,1
A. J. Cronin,white,male,5.36735592102602,5
A. J. Gordon,white,male,4.91907809237607,1
A. J. Liebling,white,male,5.23552844690755,7
A. J. McLean,white,male,5.71096311899528,3
A. J. Muste,white,male,4.87448181769947,1
A. J. P. Taylor,white,male,5.11394335230684,9
A. L. Kitselman,white,male,3.47567118832443,1
A. L. Prusick,white,male,2.08278537,1
A. Lawrence Lowell,white,male,4.64345267648619,1
A. Manette Ansay,white,female,5.46686762035411,1
A. Meredith Walters,white,female,4.818885415,4
A. N. Wilson,white,male,5.24551266781415,2
A. Nicholas Groth,white,male,3.86569605991607,1
A. P. Herbert,white,male,4.56348108539441,7
A. P. J. Abdul Kalam,asian,male,6.80345711564841,10
A. Petrov,white,male,5.6063813651106,2
A. Philip Randolph,black,male,5.38381536598043,4
A. Powell Davies,white,male,4.07554696139253,1
A. R. Ammons,white,male,4.73957234445009,7
A. R. Rahman,asian,male,7.4133,4
A. S. Byatt,white,female,5.51188336097887,10
A. S. J. Tessimond,white,male,3.9532763366673,2
A. T. Mercier,white,male,4.892651034,1
A. Volta,white,male,7.13033376849501,1
A. W. Hare,white,male,4.14301480025409,2
A. W. Pink,white,male,5.24797326636181,1
A. W. Tozer,white,male,5.923761961,10
A. White,white,male,8.86213137931304,1
A. Whitney Brown,white,male,4.16435285578444,7
A. Zampolli,white,male,5.49554433754645,1
A.A. Freda,white,male,3.80685802951882,2
A.A. Gill,white,male,4.86746748785905,2
A.A. Patawaran,asian,male,4.08635983067475,10
A.B. Guthrie Jr.,white,male,4.40654018043396,1
A.C. Bhaktivedanta Swami Prabhupāda,asian,male,6.09691001300806,9
A.C. Crispin,white,female,4.689308859,1
A.C. Grayling,white,male,5.39619934709574,6
A.E. Coppard,white,male,4.71096311899528,4
A.E. Stallings,white,female,4.54530711646582,2
A.E. Taylor,white,male,4.94596070357757,1
A.E. van Vogt,white,male,5.8494194137969,2
A.G. Gaston,black,male,4.558709,1
A.G. Roemmers,white,male,4.66086547800387,2
A.G. Sorachi,asian,male,0.30103,1
A.G. Street,white,male,4.522444234,1
A.H. Carlisle III,white,male,2.88592633980143,2
A.J. Arias,latino,male,4.260071,1
A.J. DeJong,white,male,3.50650503240487,1
A.J. Gallant,white,male,4.178976947,4
A.J. Garces,latino,male,4.31597034545692,7
A.J. Hartley,white,male,4.56229286445647,2
A.J. Jacobs,white,male,5.21218760440396,10
A.J. Quinnell,white,male,4.87273882747267,1
A.J. Russell,white,male,5.14612803567824,3
A.J. Styles,white,male,6.73158876518674,1
A.J. Waines,white,female,4.28780172993023,1
A.L. Kennedy,white,female,5.40140054078154,1
A.L. Michael,white,female,5.09691001300806,1
A.M. Burrage,white,male,4.25527250510331,1
A.M. Homes,white,female,5.18184358794477,8
A.N.L. Munby,white,male,4.24551266781415,1
A.R. Bernard,black,male,4.995635,1
A.R. Braun,white,male,4.7481880270062,1
A.R. Kahler,white,male,4.01283722470517,1
A.S. King,white,female,7.01283722470517,10
A.S. Neill,white,male,4.85733249643127,6
A.S. Peterson,white,male,5.00432137378264,4
A.S.A. Harrison,white,female,4.54654266347813,3
A.S.W. Rosenbach,white,male,4.63648789635337,1
A.T. Robertson,white,male,5.6599162,2
A.V. Roe,white,male,4.90254677931399,4
A.W. Exley,white,female,4.4814426285023,3
AR Bharaty,asian,male,4.376577,1
ASAP Ferg,black,male,5.55750720190566,2
ASAP Rocky,black,male,6.84198480459011,4
Aabid Surti,asian,male,4.501059,1
Aadii Mughal,asian,male,2.58319877396862,2
Aagam Shah,asian,male,4.72835378202123,5
Aakanksha Kesarwani,asian,female,2.082785,1
Aakash,asian,male,7.313867,1
Aakash Deep,asian,male,5.071882,1
Aakash Sharma,asian,male,5.96425963019685,3
Aakash Singal,asian,male,2.884229,1
Aaliyah,black,female,7.72509452108147,2
Aamir Khan,asian,male,7.117271,1
Aamir Sarfraz,asian,male,2.09342168516224,9
Aamir Sarfrazaamir rajput khan),asian,male,3.800029,2
Aamir Siddiqui,asian,male,5.232996,1
Aananda Karna,asian,male,2.352183,1
Aanchal Malhotra,asian,female,4.8992731873176,2
Aanchal Negi,asian,female,3.959518,1
Aaron Allston,white,male,5.62736585659273,5
Aaron B. Powell,white,male,3.63245729218472,10
Aaron Burr,white,male,6.08635983067475,3
Aaron Burr Jr.,white,male,4.2380461031288,1
Aaron Carter,white,male,6.08635983067475,1
Aaron Cohen,white,male,5.3654879848909,1
Aaron Copland,white,male,5.96614173273903,6
Aaron Crabill,white,male,3.2380461031288,1
Aaron Dries,white,male,4.45331834004704,1
Aaron Eckhart,white,male,6.04921802267018,2
Aaron Hartzler,white,male,5.47129171105894,1
Aaron Huey,white,male,4.31597034545692,1
Aaron Johnson,white,male,6.178976947,1
Aaron Koblin,white,male,4.57170883180869,1
Aaron Lauritsen,white,male,4.24303804868629,10
Aaron Marcusson,white,male,3.05690485133647,1
Aaron McGruder,black,male,4.95616843047536,2
Aaron Michael Ritchey,white,male,4.63042787502502,2
Aaron Neville,black,male,5.69460519893357,8
Aaron Paul,white,male,6.36361197989214,8
Aaron Rodgers,white,male,7.2148438480477,4
Aaron Russo,white,male,4.62736585659273,1
Aaron Sanchez,latino,male,5.594393,1
Aaron Scheerer,white,male,2.87909587950007,1
Aaron Schock,white,male,5.08635983067475,2
